"","closeness_centrality"
"3519879307",731737.23408763
"1081508200",755810.21924433
"1311961927",794240.862363799
"1771426174",801725.173823092
"3339707770",813646.568319211
"21990632",632558.322805166
"1718566880",643343.690920841
"21990631",676773.519816881
"24949776",542614.849849505
"1733389217",480566.500072362
"1312264512",484430.451999752
"1733389249",475073.320511909
"24950094",462337.068268615
"2387226309",460245.001602618
"2387226316",463533.544851652
"2387226314",465891.303459991
"2387226307",468589.841362326
"2387226304",470652.942105434
"2387226311",472828.776520085
"2387226313",474668.419997875
"24659947",472411.501662446
"1311961990",475416.815395537
"24659907",476636.673511695
"1046391070",460559.892886537
"4866976617",454384.274606337
"1733389278",449062.527607312
"24949780",473225.249716943
"5199646149",475161.447667228
"5199646141",486632.269598599
"24949781",490287.834896124
"3100169050",497067.553104347
"3100169049",490243.88041611
"24950002",562401.514683494
"24950001",592500.14563864
"1746435089",480869.555903441
"5094718798",484733.453335142
"24949861",484611.384694394
"5094718793",479874.984845594
"24949783",477356.937218386
"24659709",479028.337167812
"1762163776",483482.426095757
"1731216865",476533.613844074
"4866705606",478445.449247301
"4866705607",503313.970898242
"24659736",511524.369182995
"1569241807",514474.62359728
"1569241808",511984.962015637
"24659764",505070.494455796
"107635",501840.423190179
"107636",503197.736538936
"5141625728",510578.479283845
"24949808",554416.634256307
"5095547321",492774.901873164
"1951616327",498302.74959093
"5095547180",537353.025273482
"5095547184",538980.230289354
"24950005",541723.202485583
"24950013",542153.413581414
"24950048",545363.709039026
"24950049",543807.574530492
"24950050",529362.418069554
"107634",523630.778667804
"2389802901",530900.901338127
"2279592862",531316.938548413
"2389802904",528855.762439552
"24950051",522613.766749504
"1951616325",508257.396369403
"24950115",536597.609415578
"2279592861",536937.183999682
"385311590",528253.803957055
"24660863",531590.290868971
"24950698",530550.988109889
"1312188972",529696.991724344
"1312188669",524131.766225471
"24950699",521189.384352701
"24661273",507254.864895605
"24950064",570842.447004815
"24660697",564763.295527037
"1569216662",549940.151233738
"24950067",600389.5314993
"3061197976",607074.567367487
"1939558651",455468.148317962
"1939558657",454200.421653984
"1939558665",452191.029193654
"5218844446",572527.452984265
"24950057",484201.270462197
"1312189026",487990.072608942
"1312188839",490126.826739312
"24950058",490727.830891184
"18468956",536366.129927745
"1938819337",541433.485936819
"2387210650",544950.409777944
"25161350",556073.010824229
"24658010",543791.943248533
"24658007",561733.447839745
"25161367",561946.405884265
"25161349",559935.666665102
"24658003",560941.036606546
"1719899668",558785.496245714
"2195965723",510604.695233392
"5222453735",577291.523741012
"25161356",601133.806232713
"1955520887",718523.750525938
"25066470",683914.820907058
"1938819313",673354.772828997
"4866653236",665262.222666171
"1938819306",660478.327689876
"4866623226",650954.88116133
"25161351",588825.983683897
"25066461",610023.007192109
"25066462",613117.671652111
"5047029678",610699.22804068
"1719899591",564955.15147401
"4922952372",582149.497640594
"1046334318",591571.294122448
"25066334",592926.518885896
"25066333",580363.88754112
"1721678987",536869.372519532
"25066337",566217.418207472
"5087519098",561147.838542578
"25066412",544268.339903108
"25066338",532312.707921164
"5087519104",513009.831542643
"25161347",503642.86012295
"25066419",500206.294604841
"5090420614",506763.993432095
"5090420940",509743.330637875
"5090420965",505139.276819267
"25161348",477791.440044347
"5090420959",484270.013500291
"5090420958",490780.226885175
"5090420964",492470.952927394
"5090420610",504168.410982916
"25066451",550069.580682264
"5224610576",550643.877667963
"1717650794",560441.937376176
"25066453",546361.828217081
"25066450",538489.473887927
"1718233994",522729.540098477
"1718233957",517711.577373603
"1718233922",510649.619086916
"25161368",499708.237301706
"1684511897",553567.755344513
"2218340965",446103.224504578
"25066457",474784.444557576
"25161365",640745.777771906
"4866623230",649879.149851969
"25066666",687756.34567312
"4866552621",724177.451449676
"4866552625",731008.476248896
"4085778924",734274.366255727
"25066687",660659.254391719
"25067265",641927.536081436
"2566132609",647931.062113701
"1569382170",651944.900564396
"1569382174",656602.919276564
"2504822139",680461.986050461
"25067266",690595.213805966
"2504822137",695584.012426957
"1852996996",693110.765800243
"2504822145",689850.686479238
"25067267",679113.671866775
"25161352",580875.074274599
"1590789219",592027.491022179
"3233714199",598531.961972142
"25066784",600824.076911704
"25067068",570614.022629027
"3233714192",575120.268060677
"3233714193",579416.130434803
"3233714198",602818.298355164
"1938819327",539064.256307011
"25161366",544005.451390962
"2387209415",548195.383072767
"1360122924",553820.401873436
"3233714197",569089.690893398
"25067128",570026.451212596
"25067264",632430.229704006
"1569382119",640699.542086082
"25067298",654893.768800817
"1569382157",654909.634043382
"2566132611",622128.633850099
"25067304",625664.807731441
"2566132610",627290.341456349
"25067305",654837.154774007
"5201625543",642286.480632217
"4085778927",645530.576354031
"2387194158",537523.865781747
"3233714195",573392.723759132
"3233714194",572344.9956935
"25067324",539401.059880937
"5141877019",539201.831026286
"5247857728",538055.45594069
"4866664736",528601.194366066
"25067400",510922.064035637
"107638",516006.188258303
"5141877239",556602.408121306
"5141876996",570267.970654963
"950703625",605134.885256116
"1726783391",609392.425809417
"950703626",607596.120958461
"25067326",609977.683144736
"5146186489",607044.205172481
"25067395",603420.28529791
"5146186470",601251.969184524
"25067396",599830.053243871
"5146186463",598338.225361908
"25067397",596716.530320144
