"","closeness_centrality"
"1725216590",852806.154631589
"366082446",881849.251075758
"476241970",914616.606762616
"1985549820",939178.887536219
"137182984",949238.608310794
"1725216373",864909.138093068
"366082618",892288.499453038
"472236187",917894.906880266
"472236189",931302.231423179
"1985549817",951194.035576558
"137182987",960903.598306241
"1691663889",669439.531404969
"1492416095",674726.668375375
"777906529",674667.693812807
"777906533",674291.692357264
"777906385",673981.220222951
"777906388",673827.539607243
"777906391",673337.266998799
"30287411",1084883.60479455
"471341105",1048602.92981281
"30287316",968125.255428856
"30240836",655686.75166455
"778828636",659675.915187023
"778828638",661419.336514851
"778828640",663309.520025038
"778828513",664815.331450796
"778827738",664716.668215176
"245507255",1049326.61382732
"363385474",1048824.84641912
"2361760684",1048665.38231844
"2361760699",1048492.77241341
"2361760682",1048387.02277286
"2361760696",1048273.73627865
"245507256",1048180.09012534
"363385943",1048037.84250745
"1879180936",1047595.76488674
"1888086809",1046846.55925448
"245507258",1046272.40855573
"367098719",1045953.03217318
"245507480",1045922.10747375
"363395942",1046373.43754217
"2203960701",1046632.44975021
"1877492083",1046693.94710974
"3812208865",1046872.15119681
"245507368",1047046.48640926
"2361760719",1047363.58161164
"2361760721",1047447.11106195
"2361760753",1047546.64464138
"2361760704",1047640.51182701
"245507369",1047741.55882693
"245507370",1048001.56262322
"245802874",779097.044081296
"245802899",855585.869016937
"1877472372",784284.197941183
"767737627",699540.553207814
"777825209",713452.321036428
"137172657",726995.598224821
"247277261",928550.622777438
"446051193",758995.865703779
"871096398",720978.810863068
"52600129",678087.944383145
"1953967141",675617.410477062
"3516754931",673668.693266757
"245507478",1049373.71558324
"363399099",1048060.96465475
"245507479",1047979.79172611
"363400584",1047496.38305266
"3420833597",1047343.74459243
"35285652",796622.457596663
"777804600",788806.524801127
"777804602",751203.262981334
"777804605",746184.934099221
"777804608",741293.853994353
"777804610",737352.955687781
"1833123399",906132.778693566
"767737819",889971.694640024
"767737822",869769.447268341
"3218293558",834584.843767054
"611991913",793367.3577692
"611991914",779952.252327654
"3933082774",737572.614517244
"1492383934",750514.061765627
"1492410168",755887.309256325
"311908588",808328.585652314
"1725216553",755584.713502228
"3213448201",759809.342282144
"311908633",760899.90215558
"3213448199",741481.256569702
"4400669936",735599.79628151
"1725216591",716821.533893518
"312718293",664835.637836399
"2383215090",669273.237763509
"312718294",775767.638356167
"1725216731",674851.833899542
"1725216501",820449.136655235
"312718309",822033.746195045
"312718311",852488.260728492
"312718310",880002.539856981
"312718315",794247.180587071
"312718316",768709.608874689
"1899262802",724257.875919135
"312718321",748167.314063808
"312718314",774468.953546431
"312718322",788297.990364685
"1725216621",691045.414466635
"312718904",708973.784649508
"1492410184",731225.708479429
"1492383933",731312.350309465
"312718905",690671.374830373
"1725216363",783265.572686799
"312718907",775281.741384192
"4360750251",770703.171393286
"312718908",757108.956247702
"312718909",755020.968955735
"4360750252",752201.311621691
"1725216344",745179.890602431
"4419686625",772444.500782122
"4419701254",782672.810647818
"1492169300",784308.423972184
"1492169285",784395.502399633
