"","closeness_centrality"
"3055044672",47279.1687907367
"3055044675",47279.690967529
"1083936814",64207.3412274083
"324343246",66290.7485715805
"1083936980",68778.5216577008
"2961103327",69633.1979228275
"260131927",70517.8525150203
"1083937203",72007.9015362752
"256388661",73021.3385684883
"534841",74210.8854384032
"256387889",83224.7528741159
"256388665",89007.1959677435
"534952",90739.5103613388
"319291831",94712.0724201336
"30352767",98940.1231284437
